Date,Year,Model,Region,Country,Channel,Quantity Sold,Revenue,Revenue Per Unit
2019-01-01,2019,BMW X2,Africa,Nigeria,Wholesale,2,94654.0,47327.0
2019-01-01,2019,BMW M4,Africa,Kenya,Wholesale,1,111259.0,111259.0
2019-01-02,2019,BMW 6 Series,South America,Chile,Wholesale,3,94881.0,31627.0
2019-01-04,2019,BMW X2,Asia,South Korea,Wholesale,4,35293.0,8823.25
2019-01-04,2019,BMW M2,Asia,Japan,Wholesale,5,76275.0,15255.0
2019-01-05,2019,BMW iX3,Asia,South Korea,Wholesale,3,74929.0,24976.33
2019-01-06,2019,BMW 8 Series,South America,Colombia,Dealership,4,82563.0,20640.75
2019-01-07,2019,BMW i4,Asia,Japan,Wholesale,5,82195.0,16439.0
2019-01-07,2019,BMW iX3,Africa,Morocco,Wholesale,4,67202.0,16800.5
2019-01-07,2019,BMW 7 Series,South America,Chile,Wholesale,3,71767.0,23922.33
2019-01-08,2019,BMW X4,Europe,Italy,Wholesale,3,106309.0,35436.33
2019-01-08,2019,BMW M3,Europe,Spain,Wholesale,4,35983.0,8995.75
2019-01-08,2019,BMW X6,South America,Peru,Dealership,1,74863.0,74863.0
2019-01-09,2019,BMW 5 Series,North America,Mexico,Dealership,2,59157.0,29578.5
2019-01-09,2019,BMW X6,North America,United States,Wholesale,4,59493.0,14873.25
2019-01-10,2019,BMW M5,Europe,Italy,Dealership,4,89019.0,22254.75
2019-01-10,2019,BMW 8 Series,North America,Mexico,Wholesale,4,113748.0,28437.0
2019-01-10,2019,BMW 8 Series,North America,Canada,Wholesale,3,68568.0,22856.0
2019-01-11,2019,BMW M4,Europe,France,Wholesale,2,118264.0,59132.0
2019-01-12,2019,BMW X1,Europe,Spain,Wholesale,3,78586.0,26195.33
2019-01-12,2019,BMW M4,North America,Mexico,Wholesale,4,44063.0,11015.75
2019-01-12,2019,BMW 2 Series,South America,Argentina,Dealership,4,82810.0,20702.5
2019-01-13,2019,BMW M4,Asia,Japan,Wholesale,2,99626.0,49813.0
2019-01-13,2019,BMW X5,North America,United States,Wholesale,1,118393.0,118393.0
2019-01-14,2019,BMW i4,Asia,China,Dealership,3,93737.0,31245.67
2019-01-15,2019,BMW X1,Africa,Kenya,Dealership,4,107838.0,26959.5
2019-01-15,2019,BMW 6 Series,Asia,South Korea,Dealership,4,53877.0,13469.25
2019-01-15,2019,BMW M8,South America,Colombia,Wholesale,1,101997.0,101997.0
2019-01-16,2019,BMW iX,South America,Brazil,Wholesale,5,73420.0,14684.0
2019-01-16,2019,BMW M2,South America,Peru,Dealership,5,112782.0,22556.4
2019-01-16,2019,BMW iX,Asia,China,Wholesale,1,100875.0,100875.0
2019-01-16,2019,BMW i8,Asia,India,Dealership,5,55094.0,11018.8
2019-01-17,2019,BMW 2 Series,South America,Brazil,Dealership,5,77937.0,15587.4
2019-01-17,2019,BMW X6,Europe,Spain,Wholesale,2,104500.0,52250.0
2019-01-17,2019,BMW M3,South America,Colombia,Wholesale,1,60373.0,60373.0
2019-01-17,2019,BMW 8 Series,Africa,Egypt,Wholesale,5,53898.0,10779.6
2019-01-18,2019,BMW 5 Series,Africa,Egypt,Wholesale,1,112462.0,112462.0
2019-01-18,2019,BMW 5 Series,North America,Mexico,Dealership,2,118627.0,59313.5
2019-01-18,2019,BMW i3,Asia,China,Wholesale,2,66388.0,33194.0
2019-01-19,2019,BMW Z4,Africa,Egypt,Dealership,3,64030.0,21343.33
2019-01-19,2019,BMW i3,South America,Argentina,Wholesale,2,91913.0,45956.5
2019-01-19,2019,BMW 5 Series,North America,Mexico,Dealership,5,53184.0,10636.8
2019-01-19,2019,BMW 2 Series,Asia,Japan,Wholesale,1,76721.0,76721.0
2019-01-19,2019,BMW 4 Series,Asia,Japan,Wholesale,3,103236.0,34412.0
2019-01-20,2019,BMW i3,Europe,Italy,Dealership,1,72296.0,72296.0
2019-01-20,2019,BMW M4,South America,Chile,Dealership,5,34286.0,6857.2
2019-01-21,2019,BMW 6 Series,Africa,South Africa,Wholesale,4,40916.0,10229.0
2019-01-21,2019,BMW iX3,Europe,Germany,Wholesale,5,45072.0,9014.4
2019-01-21,2019,BMW M5,Africa,Egypt,Dealership,4,92363.0,23090.75
2019-01-21,2019,BMW M8,North America,Canada,Wholesale,3,73639.0,24546.33
2019-01-21,2019,BMW i3,South America,Colombia,Wholesale,3,117156.0,39052.0
2019-01-21,2019,BMW 6 Series,South America,Argentina,Wholesale,2,60431.0,30215.5
2019-01-22,2019,BMW 7 Series,South America,Colombia,Wholesale,5,77369.0,15473.8
2019-01-22,2019,BMW iX3,North America,United States,Wholesale,1,48946.0,48946.0
2019-01-23,2019,BMW Z4,Europe,Germany,Wholesale,3,90064.0,30021.33
2019-01-23,2019,BMW 6 Series,South America,Peru,Dealership,4,51863.0,12965.75
2019-01-24,2019,BMW X1,Africa,Kenya,Wholesale,2,54019.0,27009.5
2019-01-24,2019,BMW X5,Europe,France,Wholesale,2,90656.0,45328.0
2019-01-24,2019,BMW M8,Europe,United Kingdom,Wholesale,5,53545.0,10709.0
2019-01-25,2019,BMW M2,Europe,Germany,Dealership,5,86625.0,17325.0
2019-01-26,2019,BMW 5 Series,North America,United States,Wholesale,3,81701.0,27233.67
2019-01-27,2019,BMW M2,South America,Brazil,Wholesale,3,57386.0,19128.67
2019-01-28,2019,BMW M3,Europe,France,Wholesale,1,85878.0,85878.0
2019-01-28,2019,BMW 7 Series,Asia,India,Dealership,3,105769.0,35256.33
2019-01-28,2019,BMW X2,Africa,Kenya,Wholesale,3,47822.0,15940.67
2019-01-28,2019,BMW M2,South America,Brazil,Wholesale,3,105462.0,35154.0
2019-01-28,2019,BMW M5,Europe,United Kingdom,Wholesale,2,70023.0,35011.5
2019-01-29,2019,BMW i3,South America,Argentina,Wholesale,4,77984.0,19496.0
2019-01-29,2019,BMW 5 Series,North America,Canada,Wholesale,2,86577.0,43288.5
2019-01-29,2019,BMW X4,Africa,Egypt,Dealership,4,106369.0,26592.25
2019-01-29,2019,BMW X2,South America,Brazil,Dealership,1,80929.0,80929.0
2019-01-30,2019,BMW iX3,Asia,China,Wholesale,5,57081.0,11416.2
2019-01-30,2019,BMW X3,Africa,Nigeria,Dealership,1,32751.0,32751.0
2019-01-31,2019,BMW X7,North America,Mexico,Wholesale,5,51863.0,10372.6
2019-01-31,2019,BMW i4,Europe,France,Dealership,1,48114.0,48114.0
2019-01-31,2019,BMW X5,Asia,Japan,Wholesale,5,81176.0,16235.2
2019-01-31,2019,BMW X2,Asia,China,Wholesale,3,48642.0,16214.0
2019-01-31,2019,BMW 4 Series,Africa,Kenya,Wholesale,4,56953.0,14238.25
2019-01-31,2019,BMW X1,Africa,Kenya,Dealership,5,88479.0,17695.8
2019-01-31,2019,BMW M4,Africa,Egypt,Dealership,1,70194.0,70194.0
2019-02-01,2019,BMW X5,Africa,Morocco,Dealership,5,86843.0,17368.6
2019-02-01,2019,BMW i4,Europe,Spain,Wholesale,2,72563.0,36281.5
2019-02-01,2019,BMW 4 Series,Europe,United Kingdom,Wholesale,3,60373.0,20124.33
2019-02-01,2019,BMW 6 Series,Europe,Spain,Wholesale,1,108104.0,108104.0
2019-02-01,2019,BMW X4,Asia,South Korea,Wholesale,4,94746.0,23686.5
2019-02-01,2019,BMW X5,North America,United States,Dealership,4,116973.0,29243.25
2019-02-02,2019,BMW X5,Asia,China,Dealership,4,75760.0,18940.0
2019-02-02,2019,BMW 3 Series,South America,Brazil,Wholesale,4,77470.0,19367.5
2019-02-03,2019,BMW X3,Africa,Kenya,Wholesale,4,109449.0,27362.25
2019-02-03,2019,BMW 1 Series,Asia,India,Wholesale,1,73884.0,73884.0
2019-02-03,2019,BMW 5 Series,Europe,United Kingdom,Wholesale,2,35565.0,17782.5
2019-02-03,2019,BMW iX3,Africa,South Africa,Wholesale,2,116488.0,58244.0
2019-02-03,2019,BMW X6,Asia,Japan,Wholesale,4,107554.0,26888.5
2019-02-04,2019,BMW 5 Series,South America,Argentina,Wholesale,2,51340.0,25670.0
2019-02-04,2019,BMW X3,South America,Peru,Wholesale,3,108651.0,36217.0
2019-02-05,2019,BMW M4,South America,Chile,Dealership,2,61772.0,30886.0
2019-02-06,2019,BMW i4,Europe,France,Wholesale,5,111344.0,22268.8
2019-02-06,2019,BMW 4 Series,North America,Canada,Dealership,5,112888.0,22577.6
2019-02-06,2019,BMW 7 Series,Asia,Japan,Dealership,4,88975.0,22243.75
2019-02-07,2019,BMW i3,Asia,India,Wholesale,5,36918.0,7383.6
2019-02-07,2019,BMW X3,South America,Brazil,Dealership,4,80711.0,20177.75
2019-02-07,2019,BMW X2,North America,Mexico,Dealership,1,60070.0,60070.0
2019-02-07,2019,BMW 4 Series,North America,United States,Wholesale,2,43366.0,21683.0
2019-02-08,2019,BMW X5,Asia,Thailand,Wholesale,4,116891.0,29222.75
2019-02-08,2019,BMW X1,Asia,China,Dealership,3,39200.0,13066.67
2019-02-08,2019,BMW M3,Asia,Japan,Dealership,1,89151.0,89151.0
2019-02-08,2019,BMW X5,Africa,Morocco,Wholesale,3,53226.0,17742.0
2019-02-08,2019,BMW Z4,Europe,Germany,Wholesale,2,90085.0,45042.5
2019-02-08,2019,BMW M4,Europe,United Kingdom,Dealership,1,53486.0,53486.0
2019-02-09,2019,BMW iX,Europe,Germany,Wholesale,4,34700.0,8675.0
2019-02-09,2019,BMW M4,Asia,South Korea,Dealership,1,111863.0,111863.0
2019-02-09,2019,BMW M4,South America,Colombia,Wholesale,5,37988.0,7597.6
2019-02-10,2019,BMW 4 Series,South America,Argentina,Wholesale,2,94052.0,47026.0
2019-02-10,2019,BMW i3,Europe,United Kingdom,Wholesale,4,73352.0,18338.0
2019-02-10,2019,BMW 7 Series,Africa,South Africa,Wholesale,2,31634.0,15817.0
2019-02-11,2019,BMW i8,Europe,Germany,Dealership,2,95327.0,47663.5
2019-02-11,2019,BMW X6,Asia,India,Dealership,4,90634.0,22658.5
2019-02-11,2019,BMW X7,Africa,Morocco,Wholesale,4,75939.0,18984.75
2019-02-13,2019,BMW X4,South America,Peru,Dealership,5,117498.0,23499.6
2019-02-13,2019,BMW iX3,Europe,Spain,Wholesale,2,100938.0,50469.0
2019-02-13,2019,BMW i8,North America,Canada,Wholesale,4,36900.0,9225.0
2019-02-14,2019,BMW M4,Africa,South Africa,Wholesale,3,49332.0,16444.0
2019-02-14,2019,BMW X2,Asia,China,Wholesale,5,100672.0,20134.4
2019-02-15,2019,BMW M2,Asia,Japan,Wholesale,2,85943.0,42971.5
2019-02-15,2019,BMW 8 Series,Asia,Japan,Dealership,5,118499.0,23699.8
2019-02-15,2019,BMW X3,North America,Canada,Wholesale,2,101627.0,50813.5
2019-02-15,2019,BMW 7 Series,South America,Brazil,Dealership,3,98203.0,32734.33
2019-02-16,2019,BMW 1 Series,South America,Brazil,Dealership,4,36221.0,9055.25
2019-02-16,2019,BMW M3,North America,Canada,Wholesale,2,51788.0,25894.0
2019-02-16,2019,BMW 7 Series,Asia,Thailand,Wholesale,5,59350.0,11870.0
2019-02-17,2019,BMW X1,South America,Peru,Wholesale,3,37426.0,12475.33
2019-02-17,2019,BMW 7 Series,Africa,Nigeria,Wholesale,4,43264.0,10816.0
2019-02-17,2019,BMW i4,North America,United States,Wholesale,1,60816.0,60816.0
2019-02-18,2019,BMW X6,Asia,India,Dealership,5,78659.0,15731.8
2019-02-18,2019,BMW 7 Series,Asia,India,Wholesale,4,119622.0,29905.5
2019-02-18,2019,BMW 3 Series,Europe,Spain,Dealership,4,44287.0,11071.75
2019-02-19,2019,BMW X6,Africa,Nigeria,Wholesale,5,91852.0,18370.4
2019-02-19,2019,BMW iX3,Europe,Germany,Wholesale,3,42583.0,14194.33
2019-02-19,2019,BMW i8,Europe,United Kingdom,Wholesale,5,67455.0,13491.0
2019-02-19,2019,BMW X4,Asia,India,Wholesale,4,102454.0,25613.5
2019-02-19,2019,BMW X5,Europe,Italy,Wholesale,3,113401.0,37800.33
2019-02-20,2019,BMW M4,Africa,Morocco,Wholesale,4,90345.0,22586.25
2019-02-20,2019,BMW i8,Africa,Kenya,Wholesale,4,67525.0,16881.25
2019-02-20,2019,BMW i8,South America,Colombia,Wholesale,3,63314.0,21104.67
2019-02-20,2019,BMW i8,Europe,United Kingdom,Dealership,2,42134.0,21067.0
2019-02-21,2019,BMW 2 Series,North America,Mexico,Wholesale,5,63617.0,12723.4
2019-02-21,2019,BMW 2 Series,Europe,United Kingdom,Wholesale,4,93444.0,23361.0
2019-02-21,2019,BMW X6,Africa,Kenya,Wholesale,5,113489.0,22697.8
2019-02-21,2019,BMW i4,Europe,Italy,Wholesale,4,36487.0,9121.75
2019-02-22,2019,BMW X5,Asia,Japan,Wholesale,4,86865.0,21716.25
2019-02-22,2019,BMW M8,Europe,Spain,Wholesale,2,84890.0,42445.0
2019-02-22,2019,BMW iX3,Africa,Nigeria,Wholesale,2,76295.0,38147.5
2019-02-23,2019,BMW X5,Asia,China,Wholesale,4,117702.0,29425.5
2019-02-24,2019,BMW X2,North America,Mexico,Wholesale,1,108959.0,108959.0
2019-02-24,2019,BMW M4,Africa,Nigeria,Dealership,4,106844.0,26711.0
2019-02-24,2019,BMW 6 Series,Asia,Thailand,Wholesale,4,80294.0,20073.5
2019-02-25,2019,BMW 5 Series,North America,Mexico,Wholesale,2,81564.0,40782.0
2019-02-25,2019,BMW X4,South America,Chile,Dealership,3,35804.0,11934.67
2019-02-26,2019,BMW X6,Africa,Kenya,Wholesale,2,78643.0,39321.5
